dataset,anchor,m,PR_mean,PR_sd_ddof0,replicates,seed
snli,h,32,31.00573820575924,0.05634744438193573,12,42
snli,h,48,45.81349238014488,0.08272708987874125,12,42
snli,h,64,60.12747308020416,0.08120147821243566,12,42
snli,h,96,87.52469154360035,0.17677742332673227,12,42
snli,h,128,113.35393289861695,0.2075868670872381,12,42
alphanli,uniform,2,1.3872335185185085,0.02122533771338687,12,42
alphanli,uniform,3,1.6000936248007998,0.030954591798207965,12,42
alphanli,uniform,4,1.7322265516263344,0.028742225927219842,12,42
alphanli,uniform,5,1.7869200450139768,0.04697140840975447,12,42
alphanli,uniform,6,1.8527481089390505,0.03245572355109801,12,42
alphanli,uniform,7,1.8973453986822146,0.031238279978867446,12,42
alphanli,uniform,8,1.9422621191545686,0.039275607969617855,12,42
alphanli,uniform,9,1.9709493603981993,0.02344835508270027,12,42
alphanli,uniform,10,1.9948345156046434,0.020741800326100148,12,42
alphanli,uniform,11,2.0282462459679262,0.02598095150338192,12,42
alphanli,uniform,12,2.039059817948226,0.04272902136144278,12,42
alphanli,uniform,16,2.0770951127588115,0.029326280809901375,12,42
alphanli,uniform,24,2.1254680401096535,0.03117784987514834,12,42
alphanli,uniform,32,2.153508426679173,0.021078009487805756,12,42
alphanli,uniform,48,2.191547070008289,0.016027452265703245,12,42
alphanli,uniform,64,2.203703078930733,0.018426345331075365,12,42
alphanli,uniform,96,2.2139850889692045,0.01465198587069105,12,42
alphanli,uniform,128,2.21564152380831,0.012608735753269562,12,42
alphanli,mode_h,2,1.8735739050500568,0.032436110279580405,12,42
alphanli,mode_h,3,2.60759143120559,0.08365905837336654,12,42
alphanli,mode_h,4,3.2738355557521444,0.07484714317470637,12,42
alphanli,mode_h,5,3.869656849783277,0.08864798321762155,12,42
alphanli,mode_h,6,4.422547041162095,0.16065781806903306,12,42
alphanli,mode_h,7,4.860957545227373,0.11481492075155887,12,42
alphanli,mode_h,8,5.331850109876589,0.12315748009466129,12,42
alphanli,mode_h,9,5.74611732119338,0.15078046996145208,12,42
alphanli,mode_h,10,6.1000038432201835,0.22750441954688513,12,42
alphanli,mode_h,11,6.421597067382106,0.22467185505941442,12,42
alphanli,mode_h,12,6.721503230847433,0.2281531993464138,12,42
alphanli,mode_h,16,7.7697678582487555,0.19581434335217326,12,42
alphanli,mode_h,24,9.057239320994439,0.20359834613502528,12,42
alphanli,mode_h,32,9.890859404207953,0.28297954330893493,12,42
alphanli,mode_h,48,11.025101434450704,0.3242583023036783,12,42
alphanli,mode_h,64,11.464417369362112,0.31690304478398107,12,42
alphanli,mode_h,96,12.214289653587196,0.2325478051549335,12,42
alphanli,mode_h,128,12.625003947713504,0.21366456606722697,12,42
alphanli,h,2,1.9969056684203237,0.0026306408232360857,12,42
alphanli,h,3,2.9837537531864076,0.007612506755113742,12,42
alphanli,h,4,3.9788324355285485,0.008790374360080495,12,42
alphanli,h,5,4.955233375651348,0.014249690690513706,12,42
alphanli,h,6,5.942898572200572,0.026662508253798956,12,42
alphanli,h,7,6.913399163735843,0.024759783357606955,12,42
alphanli,h,8,7.900965473072367,0.025925102860109198,12,42
alphanli,h,9,8.846726155727032,0.02631147629321314,12,42
alphanli,h,10,9.836384875043896,0.03083970283912659,12,42
alphanli,h,11,10.796587456916392,0.033189656482126226,12,42
alphanli,h,12,11.754904580537186,0.06149170185106685,12,42
alphanli,h,16,15.54062074177577,0.052591394890572095,12,42
alphanli,h,24,22.974346069239562,0.05276460806765304,12,42
alphanli,h,32,30.19407050496738,0.08674539087772831,12,42
alphanli,h,48,44.04227840957251,0.14435681181734433,12,42
alphanli,h,64,57.143580861514714,0.19975599616138912,12,42
alphanli,h,96,81.03008330102564,0.23719715378222725,12,42
alphanli,h,128,102.65402376409264,0.48088123689688284,12,42
